date,description
1931-11-27,"The Japanese installed Colonel Kenji Doihara as the mayor of Mukden, Liaoning Province, China.ww2dbase[Kenji Doihara|Mukden, Liaoning|CPC]"
1931-11-30,"Sun Du was assigned to the military staff of warlord Long Yun of Yunnan Province, China.ww2dbase[Sun Du|Yunnan|CPC]"
1931-12-01,"V. K. ""Wellington"" Koo, the Chinese delegate to the League of Nations, appealed to the international community over the Japanese attacks in northeastern China.  The league would soon dispatch a delegation headed by British Lord V. A. G. R. Bulwer-Lytton to China to investigate.ww2dbase[Mukden Incident|Wellington Koo|Geneva|CPC]"
1931-12-08,"Chinese Lieutenant General Xi Qia began talks with the Japanese occupation representatives in Mukden, China.ww2dbase[Mukden Incident|CPC]"
1931-12-09,"Yuan Chin-hai was appointed the Chairman of the Committee for the Maintenance of Peace and Order for the newly renamed Fengtien Province in northeastern China (now Liaoning Province, China) as he negotiated with the Japanese.  Meanwhile, Lieutenant General Xi Qia of neighboring Jilin Province continued his separate discussion with the Japanese.ww2dbase[Mukden Incident|CPC]"
1931-12-11,"The keel of HMS Neptune was laid down at Portsmouth Naval Dockyard, England, United Kingdom.ww2dbase[Neptune|Portsmouth, England|AC]"
1931-12-13,"The Manchukuo National Airways was established in Fengtian Province, Manchukuo per orders of the Japanese Kwantung Army.ww2dbase[CPC]"
1931-12-14,"The keel of the aircraft carrier Ranger was laid down at Newport News, Virginia. Ranger was the first United States ship intended to be an aircraft carrier from the moment the keel was laid.ww2dbase[Newport News Shipbuilding|Ranger|Newport News, Virginia|DS]"
1931-12-15,"In response to the Japanese aggression during the Mukden Incident, Governor Zhang Jinghui of Harbin, Heilongjiang Province, China called for a conference with his lieutenants to plan a secession of the region from the Republic of China.ww2dbase[Zhang Jinghui|Harbin, Songjiang|CPC]"
1931-12-16,The Soviet Union declared neutrality in the conflict between China and Japan in northeastern China (Manchuria).ww2dbase[Mukden Incident|CPC]
1931-12-20,"Lieutenant General Xi Qia, collaborating with the Japanese, announced that Jilin Province, China was now independent from the Republic of China and was under protection of the Japanese Army.ww2dbase[Mukden Incident|CPC]"
1931-12-21,Wilhelm Keitel was promoted to the rank of Oberst.ww2dbase[Wilhelm Keitel|CPC]
1931-12-23,Clifton Cates was promoted to the rank of major.ww2dbase[Clifton Cates|Shanghai|CPC]
1931-12-28,"Marcel-Bruno Gensoul was made the chief of the 3rd Maritime Region, based at Toulon, France.ww2dbase[Toulon Military Port|Marcel-Bruno Gensoul|Toulon, Provence-Alpes-Côte d'Azur|CPC]"
1931-12-30,Walther von Brauchitsch was promoted to the rank of major general (generalmajor).ww2dbase[Walther von Brauchitsch|CPC]
1931-12-31,"Charles Lindbergh's Lockheed Sirius floatplane was flipped by strong current at Hankou, Hubei Province, China a it was being hoisted off of HMS Hermes.  A boat from the carrier rescued Lindbergh and his wife.ww2dbase[Hermes|Hankou, Hubei|CPC]"
